"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PC 34_5",28602.9081116071,36171.0636026786,37277.8619375,18529.0356535714,14478.5347705357,18529.0356535714,25325.8855196429,30214.4408214286
"PC 32_2",29205.3635535714,40865.2268607143,34054.3606964286,23315.2417571429,19652.5736517857,16331.7739839286,29205.3635535714,25881.2709928571
"PC 40_1",8961.33935714286,14739.9143785714,12888.5737714286,8961.33935714286,6551.378575,6798.03111785714,9464.67715821428,14739.9143785714
"PC 34_3",46974.5335535714,72376.8640464286,42558.8972821429,51795.0621428571,78680.0341964286,62766.6365035714,54177.6545053571,60719.3389107143
"PC 40_9",51795.0621428571,55779.1466964286,46974.5335535714,25146.6001785714,33679.5103964286,31635.0711428571,41435.4854071429,39125.4085535714
"PC 40_4",9464.67715821428,3786.05885392857,3880.28439107143,3359.53925410714,8125.48476017857,4314.71070089286,7990.22304464286,6439.62519160714
"PC 30_0",147937.73625,218579.666142857,195603.946214286,209614.510892857,127822.838035714,134815.647321429,187605.219642857,195603.946214286
"PC 40_8",50324.3570714286,45078.8297857143,33258.4630142857,38131.7161321429,72376.8640464286,53310.7435107143,35910.3636071429,57766.9555892857
"PC 32_0",53310.7435107143,79935.5262642857,51035.1771285714,57766.9555892857,75241.3308392857,71082.6420714286,58747.1725892857,73784.2439285714
"PC 44_12",32711.4972857143,27253.9484821429,19652.5736517857,19857.4815,20815.1330178571,17492.2355,25881.2709928571,16998.0356178571
"PC 42_4",42558.8972821429,69792.1983392857,41435.4854071429,34705.7523928571,54177.6545053571,55779.1466964286,26555.1806428571,49582.7215642857
"PC 42_7",3456.08772910714,4314.71070089286,7839.17797125,7597.96034285714,3359.53925410714,2502.46226125,1772.08722303571,2072.90318839286
"PC 40_0",4415.97215875,8648.21050196429,5934.35367571429,5520.08360160714,2946.67659517857,1932.36239017857,7050.54476,6078.22740089286
"PC 44_5",8251.11858571429,4981.35488607143,9464.67715821428,5398.0321,9772.53663392857,4855.38819928571,7701.63170017857,9162.38664107143
"PC 38_9",14400.1318625,17492.2355,13414.3489392857,14161.2389589286,5270.37840482143,6551.378575,8251.11858571429,12732.5940125
"PC 42_1",5167.27360178571,8372.5780875,6439.62519160714,5844.98421946429,2502.46226125,4217.19304410714,4981.35488607143,5270.37840482143
"PC 44_9",2388.13856553571,10133.1685892857,3688.59157071429,3688.59157071429,9464.67715821428,11367.4251125,4543.34497678571,3786.05885392857
"PC 38_3",5270.37840482143,2283.52759196429,3149.46716821429,2388.13856553571,3579.30554910714,7186.05634642857,2610.50864875,2840.1576325
"PC 44_11",12299.3981696429,8251.11858571429,9295.57433928571,16331.7739839286,4217.19304410714,7990.22304464286,11700.2718053571,14400.1318625
"PC 42_10",41996.9177589286,33679.5103964286,29619.9902357143,23860.7347321429,16998.0356178571,29956.5594839286,28012.4682160714,23860.7347321429
"PC 42_5",3579.30554910714,5270.37840482143,4099.36693267857,4415.97215875,4758.78730589286,3688.59157071429,5724.02211196429,2610.50864875
"PC 44_8",4758.78730589286,5631.42895357143,2388.13856553571,3880.28439107143,6315.46978571429,5520.08360160714,4415.97215875,7347.25012964286
"PC 34_4",5520.08360160714,16769.8830410714,8961.33935714286,13955.8465,32711.4972857143,33258.4630142857,35265.7756053571,31204.8584232143
"PC 38_0",10294.1983232143,8512.3501875,11700.2718053571,4099.36693267857,4543.34497678571,8125.48476017857,9295.57433928571,12888.5737714286
"plasmenyl-PC 20_0",20710.3070089286,29412.6768946429,23447.1221107143,29788.2748598214,25693.2209267857,15563.22674375,11110.9091625,23447.1221107143
"plasmenyl-PC 38_1",139107.900982143,167816.821428571,131122.470535714,117295.894107143,105862.877928571,117295.894107143,109260.486,134815.647321429
"plasmenyl-PC 40_0",33258.4630142857,18418.6395375,27253.9484821429,19427.3070232143,15874.1222107143,18943.2163214286,22417.2371946429,29205.3635535714
"plasmenyl-PC 40_3",14739.9143785714,16331.7739839286,12525.6698714286,9632.68153035714,8961.33935714286,18178.1888875,7839.17797125,20152.4907142857
"plasmenyl-PC 38_5",6439.62519160714,7839.17797125,5520.08360160714,9772.53663392857,5167.27360178571,11020.5853321429,12888.5737714286,5088.60001303571
"plasmenyl-PC 24_0",1565.000575,2181.38010482143,2283.52759196429,1195.77037946429,2283.52759196429,1195.77037946429,2181.38010482143,1932.36239017857
